stage_code,stage,taxa_name,lw_reg_eqn,slope_b,int_a,lw_reg_length_type,lw_reg_weight_type,lw_reg_source_primary,lw_reg_doi,lw_reg_location,lw_reg_source_secondary,lw_reg_notes
Not_Staged,Not_Staged,Ostracoda,log10(DW_ug) = 2.545 * log10(CL_um) - 6.4027,2.545,-6.4027,CL,DW,Lavaniegos_Ohman_2007,10.1016/j.pocean.2007.07.002,Oyashio Current ,Kaeriyama_Ikeda_2002,Eqn. for Ostracods
Not_Staged,Not_Staged,Ostracoda,log10(WW_ug) = 2.10 * log10(TL_um) - 4.396910,2.1,-4.397,CL,WW,Richardson_et_al_2006,10.1016/j.pocean.2005.09.011,NA,McGinty_et_al_2023;Peters_1983,General eqn. for copepods/zooplankton/ostracoda used in CPR survey;p.67;Data Sheet 1 Supp. Table 1;Original WMmg= 0.08*TLmm^2.1
Not_Staged,Not_Staged,Ostracoda,log10(WW_ug) = 2.42 * log10(SL_um) - 7.143,2.42,-7.143,TL,WW,Kaeriyama_Ikeda_2002,"CIT:Kaeriyama, H., and T. Ikeda. 2002. Body allometry and developmental characteristics of the three dominant pelagic ostracods (Discoconchoecia pseudodiscophora, Orthoconchoecia haddoni and Metaconchoecia skogsbergi) in the Oyashio region, western North Pacific. Plankton Biology and Ecology 49: 97–100.",western North Pacific Ocean,Nakamura_et_al_2017,Eqn. for Metaconchoecia skogsbergi
Not_Staged,Not_Staged,Paguridea,log10(DW_ug) = 1.97 * log10(CL_um) - 4.05,1.97,-4.05,CL,DW,Lindley_1998,10.1017/S0025315400040121,NA,NA,NA
Not_Staged,Not_Staged,Paracalanidae,log10(C_ug) = 3.128 * log10(PL_um) - 8.451,3.128,-8.451,PL,C,Uye_1991,"CIT:Uye, S. 1991. Temperature-Dependent Development and Growth of the Planktonic Copepod Paracalanus sp. in the Laboratory. Bull. Plankton Soc. Japan 627–636.",Japan,Uye_Shibuno_1992,same as Paracalanus 
Not_Staged,Not_Staged,Paracalanus,log10(C_ug) = 3.128 * log10(PL_um) - 8.451,3.128,-8.451,PL,C,Uye_1991,"CIT:Uye, S. 1991. Temperature-Dependent Development and Growth of the Planktonic Copepod Paracalanus sp. in the Laboratory. Bull. Plankton Soc. Japan 627–636.",Japan,Uye_Shibuno_1992,CI-CVI
Not_Staged,Not_Staged,Paracalanus,log10(DW_ug) = 3.25 * log10(PL_um) - 8.54,3.25,-8.54,PL,DW,Chisholm_Roff_1990,10.1007/BF02114676,Jamaica,NA,Eqn. for Paracalanus aculeatus
Not_Staged,Not_Staged,Paracalanus parvus,log10(C_ug) = 3.1280 * log10(PL_um) - 8.4510,3.128,-8.451,PL,C,Davis_1984,10.1007/BF00392761,Georges Bank,ICES_WGZE_COPEPEDIA,same as adult;Eqn. for Paracalanus spp.;CI-CVI
Not_Staged,Not_Staged,Paracalanus parvus,log10(C_ug) = 1.966 * log10(TL_um) - 5.404,1.966,-5.404,TL,C,Davis_1984,10.1007/BF00392761,Georges Bank,ICES_WGZE_COPEPEDIA,same as adult;Eggs-CVI
Not_Staged,Not_Staged,Paracalanus parvus,log10(DW_ug) = 2.738 * log10(PL_um) - 6.934,2.738,-6.934,PL,DW,Hay_et_al_1991,10.1016/0278-4343(91)90021-W,North Sea,ICES_WGZE_COPEPEDIA,same as adult;CI-CVI
Not_Staged,Not_Staged,Penilia avirostris,log10(C_ug)  = 4.51 * log10(BL_um) - 12.74,4.51,-12.74,TL,C,Uye_1982,10.1007/BF02110286,Japan,NA,body length
Not_Staged,Not_Staged,Penilia avirostris,log10(DW_ug) = 1.76 * log10(BL_um) - 4.39,1.76,-4.39,TL,DW,Atienza_et_al_2007,10.1007/s00227-006-0578-8,South Atlantic;Brazil,NA,from the tip of the head to the base of the caudal setae;Atienza 2006 vs 2007 give different DW–L slopes;body length
Not_Staged,Not_Staged,Penilia avirostris,log10(DW_ug) = 2.7 * log10(BL_um) - 4.39,2.7,-4.39,TL,DW,Atienza_et_al_2006,10.3354/meps315211,Balearic Sea;Spain,NA,from the tip of the head to the base of the caudal setae;Atienza 2006 vs 2007 give different DW–L slopes;body length
Not_Staged,Not_Staged,Penilia avirostris,log10(DW_ug) = 4.99 * log10(BL_um) - 13.77,4.99,-13.77,TL,DW,Uye_1982,10.1007/BF02110286,Japan,NA,body length
