stage_code,stage,taxa_name,lit_weight_ug,lit_weight_type,weight_source_primary,weight_doi,weight_location,weight_source_secondary,weight_notes
ZOO_STAGE_000,Adult,Paracalanus parvus,6.98,DW,Gillooly_2000,10.1093/plankt/22.2.241,NA,Huntely_Llopez_1992;Uye_1982,NA
ZOO_STAGE_000,Adult,Pseudocalanus minutus,10,C,Banas_Campbell_2016,10.3354/meps11873,NA,McLaren_et_al_1989,NA
ZOO_STAGE_000,Adult,Pseudocalanus minutus,12.1,DW,Davis_1984,10.1007/BF00392761,Northeast U.S. Shelf;Georges Bank,Skjoldal_Aarflot_2023;Gillooly_2000;Assmy_et_al_2023,23.25 ug DW Gillooly 2000
ZOO_STAGE_000,Adult,Temora longicornis,12.14,C,Corona_et_al_2021,10.1002/lno.11930,Northeast Atlantic;near Plymouth,Barton_et_al_2020,adult females;4.99 in Barton et al 2020
ZOO_STAGE_000,Adult,Temora longicornis,27.6,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Skjoldal_Aarflot_2023;Gillooly_2000;Assmy_et_al_2023;Martynova_et_al_2009;Pitois_Fox_2006,37.21 ug DW Gillooly 2000;12.6 in Pitois
ZOO_STAGE_000,Adult,Thysanoessa gregaria,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_000,Adult,Thysanoessa gregaria,NA,DW,NA,NA,NA,NA,NA
ZOO_STAGE_000,Adult,Thysanoessa longicaudata,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_000,Adult,Thysanoessa longicaudata,447.38,DW,Hay_et_al_1991,10.1016/0278-4343(91)90021-W,North Sea,Assmy_et_al_2023,2300 in Assmy
ZOO_STAGE_000,Adult,Thysanoessa raschii,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_000,Adult,Thysanoessa raschii,687.369,DW,Hay_et_al_1991,10.1016/0278-4343(91)90021-W,North Sea,Smith_1991,20000
